clip,system,wer,cer,ref_words,hyp_words,script_mismatch,hyp_text,ref_text
clip47,faster-whisper:large-v3,0.9333,0.2526,15,14,False,Laum maalmoot oordaadeer. Bukhar rado. Qad. Quraal. Maga uyaal. Wan ega. Maraa. Harisdarro. Oorda.,labo maalmood oo dhaadheer boqorado Qod! qoraal magac-u-yaal Waan eegaa. maraa naxariisdarro Orda.
clip48,faster-whisper:large-v3,0.7895,0.2162,19,17,False,"ferka, urda, wadda, sahra, wayyata hai, hadalka, suuban, taas, hassan ma imaan, adakar miya taktay maga hada.",feerka Orda. waddo Sahro way yar tahay. hadalka Suubban taas Xasan ma imaan. Hadda ka hor miyaad tagtay magaaladan?
clip49,faster-whisper:large-v3,0.619,0.1694,21,19,False,Habaay shakadii waa kayyamti. Yaad lakulantay shalay. Garsoore. Muqdeesha ayu u safray. Kuriga weyn. Pas kuwa weyn yaay. Laaam.,Aabbahay shaqadii waa ka yimid. Yaad la kulantay shalay? garsoore Muqdisho ayuu u safray. guriga weyn Basku waa weyn yahay. laan
clip50,faster-whisper:large-v3,0.875,0.2143,16,16,False,maa laa guriga dadka saadisay maa raqday waha yimid ardaybadan waha ancha laa emma guriga igan,maalaa Guriga dadka soo dhisay ma aragtay? Waxaa yimid arday badan. Waxaa aan jeclaa Emma. gurigaygan
clip01,elevenlabs:scribe_v1,0.4375,0.1042,16,15,False,Beertaada. Beertii. Boodidda. Waax. Aabe ma berbaa. Quruxda gabadha. Markii u ahan arkay hal ratti.,beertaada beertii boodidda waax aabbe Ma beer|f baa? quruxda gabadha markii Waxaan arkay hal rati.
clip02,elevenlabs:scribe_v1,0.5263,0.1171,19,19,False,u fiirso sawirka oo u sheeg ma calinkaaga waxaa adku aragtay. Kab nasiib darro tahay noof miyay timid hooyada.,U fiirso sawirka oo u sheeg macallinkaaga waxa aad ku aragtid. kab nasiibdarro tahay neef|m Miyay timid hooyadaa?
clip03,elevenlabs:scribe_v1,0.6875,0.1895,16,18,False,Ku ismaayo ayee aad iyo? Ma waxaad degantahay Mogadishu? Khala'. Ha ah hooyaday way timid waa cadad? Miit.,"Kismaayo ayay aadday. Ma waxaad deggan tahay Muqdisho? kala Haa, hooyaday way timid. Waa cadad. miid"
clip04,elevenlabs:scribe_v1,0.5556,0.1111,18,16,False,Dulalka. Miid. Si fiican isugu garaa isku jirkaas. Laba nagood. Keeba urdaayo. Dabjoog. Waan la booda.,dulalka miid Si fiican isugu garaac isku-jirkaas. labo naagood Kee baa ordaya? dab-joog Waa la boodaa.
clip05,elevenlabs:scribe_v1,0.6957,0.1724,23,27,False,Iyo aduun maxan u sanaac? Inkii yimid waan arkay. Waa jordan? Bu qor keenna. Xal bare oo cusub. Tani waa aqalka caali. Caali labadiisa dhiigooda. Gaariga Maxamed.,Iyadu ma xannuunsana. Ninkii yimid waan arkay. Way ordeen. boqorkeenna hal bare oo cusub Kani waa aqalka Cali. Cali labadiisa dhegood gaariga Maxamed
clip06,elevenlabs:scribe_v1,0.65,0.2222,20,23,False,Ma koofiyad baa? Hal duuke oo weyn. Shee ka dheeda. Laba dumar ahaa oo qorax badan. Gaar ahaan tamid aye. Geesi. Moosoo iibso.,Ma koofiyad baa? hal tuke oo weyn sheekadeeda labo dumar ah oo qurux badan gacanta midig geesi Moos soo iibso!
clip07,elevenlabs:scribe_v1,0.65,0.1875,20,22,False,Ha waa markay. Inan. Afhayeen? Mogadishu u safray. Indhi hiisa? Kabta. Gabar? Gortas ay dabayshii ku ku cufuftay dhiital keedii oo dhan.,"Haa, waan arkay. inan|f afhayeen Muqdishuu u safray. indhihiisa kabta gabar Goortaas ayay Dabayshii ku afuuftay itaalkeedii oo dhan."
clip08,elevenlabs:scribe_v1,0.8182,0.1646,11,14,False,Buugaag. Ka baa inay oo mati. Maryaam. Ishaasi yar. Hooyada waa maclimad. Dadka. Oomin.,buugaag kabaynayaa oomati Maryan ishaas yar Hooyadaa waa macallimad. dadka oomin
clip09,elevenlabs:scribe_v1,0.5882,0.1538,17,17,False,"Kani waaba, la boqor. Shey ka jecayl? Fiiri, waan helidoona. Buugaagtiisa cusub kay baad akhristi? Cali miya.",Kani waa ubax. boqor sheeko jacayl Fiiri. Waan heli doonaa. Buugaagtiisa cusub kee baad akhrisay? Cali miyaa?
clip10,elevenlabs:scribe_v1,0.8571,0.2966,21,18,False,Kuso bad. Saero ayaan harkay. Magalo. Walaashay gurigii joogtaa. Dhubta. Dhubta. Seeef. Muneef baah. Foree. Agyee degantaa ayadoo.,Ku soo bood! Sahro ayaan arkay. magaalo Walaashay gurigay joogtaa. Dubta. seef Ma neef|f baa? fure Xagee deggen tahay iyadu?
clip11,elevenlabs:scribe_v1,1.0,0.6129,15,20,False,Wuxuu u geystay qorayn ayaa ah goorar. Canaan saac. Ragga. Saddex daweyl ayaa dambe. Dhiso. Maalmo afar ah oo horaysay.,goror caanaha saca raggaa Saddexda wiil ayaad ammaantay. OSV Dhiso. maalmo afar ah oo horreysay
clip12,elevenlabs:scribe_v1,0.8462,0.191,13,13,False,BERBERA Waa yi mit nimaanka. Waddooyin kooda. Waa lacuna. Bihooyada miya bu gaawilkee.,Berbera Waa yimid. nimanka waddooyinkooda Waa la cunaa. riday Hooyadaa miyaa? buugga wiilkee
clip13,elevenlabs:scribe_v1,0.7619,0.3308,21,15,False,Waxaa u abooda inuu digaagadda dibada inoo ku soo saaro. Yaayimiti silsiladeeda magaciisu waa Maxamed.,ninkii la joogay adeerkay SVO Waxa uu awoodaa in uu digaagadda dibadda inoogu soo saaro. Yaa yimid? silsiladdayda Magaciisu waa Maxamed.
clip14,elevenlabs:scribe_v1,0.9167,0.1852,12,17,False,"Naag. Moo yey yaal, oof. Qayb libaa. Anaan iyo. Kaani waa hodan waa bixid. Ul. Saxan keenna.",naag mooyayaal oof qayb libaax annaanniyo Kani waa Hodan aabbaheed. ul saxankeenna
clip15,elevenlabs:scribe_v1,0.5,0.1714,20,21,False,Niman waa tee tan ordaysa? Ninkii baa liba ah xiix qabtay. Abdi waa oo ka yaryahay cali inta gabar. Afo. Kuwaas.,niman Waa tee tan ordaysa? Ninkii baa libaaxii qabtay. OSV Cabdi waa uu ka yar yahay Cali. gabar aafo kuwaas
clip16,elevenlabs:scribe_v1,0.5294,0.1284,17,17,False,Maro ayay ilmuhu hooyo la mayrayeen. Waa dhaqan. Kubadda miiska. Weeyne cusub. Qof weeyn. Sabtidas. Kalkaalisa dee.,Maro ayay ilmuhu hooyo la mayrayaan. Waa taqaan. kubbadda miiska weyn oo cusub qof weyn Sabtigaas kalkaalisadee
clip17,elevenlabs:scribe_v1,0.6471,0.37,17,16,False,Dhaawac danabe. Surweyd lo. Way yiyi. Hal yuu la maalay. Waa biga. Hal itir. Waa heleen.,indhaha oo dhan surwaallo Wariyihii hal yuu la maalay? Maxaa la yiraahdaa? webiga hal litir Waa heleen.
clip18,elevenlabs:scribe_v1,0.5,0.0778,12,13,False,"Walaal, iskuul luuqadeed, muusaan harkay, arruuray, istaagsan, hal qabar, qalli yaal furaha guriga.",walaal iskuul luqadeed Muusaan arkay. Carruurey! istaagsan hal gabar qalinyaal furaha guriga
clip19,elevenlabs:scribe_v1,0.4615,0.1646,13,11,False,Aduunka Somaliya. Aabur. Wadnahayga. Tus. Yaryar. Aqal. Aad u fiicanyahay. Soo.,cadowga Soomaaliya aabbur wadnahayga Tus! yaryar aqal Wuu aad u fiican yahay. soo
clip20,elevenlabs:scribe_v1,0.5,0.1392,12,14,False,Qalimo. Lacagta. Xayaay. Wanig kaaga. Magaalo yar. Sheegid. Ka hor yar oo qurxoon. Webi.,qalimmo lacagta Hayaay! wiilkaaga magaalo yar sheegid gabadh yar oo qurxoon webi
clip21,elevenlabs:scribe_v1,0.7143,0.264,21,19,False,Wey sheegtay. Birkooda? Waa reer wey. Abid? Iydid? Maclay kuula kulmay. Ralse hore. Isanadii? Kani wa iskuulka Ahmadiyya yahano.,Way sheegtay. wiilkooda Waa reer weyn. cabbid iidid Macallinkuu la kulmay. Bal soo orod! sannad Kani waa iskuulka Axmed iyo Sahro.
clip22,elevenlabs:scribe_v1,0.7368,0.4314,19,11,False,Waddo? Taariikhda hamdi gaarigii Mahamud ku soo bood. Haggag. Makaba. Dego.,waddo Tani waa Xamdi. gaarigii Maxamed Ku soo bood! Ninkii yimid wuu arkay isagu. hagaag Ma kab baa? dhego
clip23,elevenlabs:scribe_v1,0.8824,0.3333,17,20,False,Isaga la ogeyn sara aya aragtay. Eray waan ka cay olol kaas. Haadayaa maraynta si fiican u dabaalan taqaano saaxiibadeeda.,Sahro ayaa aragtay. erayo Waan kacay. ololkaas duulaya|light Maryanta si fiican u dabaalan taqaan waa saaxiibaddayda.
clip24,elevenlabs:scribe_v1,0.6667,0.1947,18,17,False,Isagoo ma xanuunsaneyso ma ilinba taariikhda Soomaaliya. Dayn aan ma cabsi taan aan taagu iyadoo ma xanuunsaneyso.,Isagu ma xannuunsanayo. Ma illin|m baa? taariikhda Soomaaliya Day! Caano ma cabtaa? Aan taago. Iyadu ma xannuunsanayso.
clip25,elevenlabs:scribe_v1,0.625,0.1698,16,14,False,Tanim cirbada. Looqadda amxaarada. Uuubato. Gabad. Warox badan. Waan cabbaynaa. Waan eegayaa. Waan mukaaraa.,Tani ma cirbadaa? luuqadda Amxaarada uubato gabadh qurux badan Waan cabbaynaa. Waan eegayaa. Kuwani ma kooraa?
clip26,elevenlabs:scribe_v1,0.4118,0.129,17,19,False,Hal xabbo oo moos ah indho haan yaryar A B roob bad hamali mindi hal eey subax hooyaa timid.,hal xabbo oo moos ah indhahan yaryar aabbe roob beed xammaali mindi hal ey subax Hooyaa timid.
clip27,elevenlabs:scribe_v1,0.7,0.2857,20,18,False,3 yaabbaan. Ma shubaa niin tileey magaalo. Beec. Ma ku badbaa iidiid. Hal baabuur. Ku soo bad. Heed.,saddex yaaban Mas baa nin dilay. SOV magaalo beer|m Ma kubbad baa? iidid hal baabuur Ku soo bood! eed
clip28,elevenlabs:scribe_v1,0.875,0.225,16,17,False,Xalammada silsiladaha iga dukaan leh ninkii libaaxi qabtay miyu la hadlay baal diyo laba ganacsi ugu wanaagsan.,qalimmada silsiladahayga dukaanle Ninkii libaaxii qabtay miyuu la hadlay? S/SOVAV baaldiyo labo ganacsato oo waawanaagsan
clip29,elevenlabs:scribe_v1,0.6818,0.1752,22,22,False,Dhiskulka uu ma ordeyn? Mogdisho? Aqalka martida. Xasa ma jiifaa? Waxni ma samaynaya? Waxoo da. Aqalka ma dibibaa. Ma skiibaan ninkii dilay.,Iskuulka uma ordayaan. Muqdisho aqalka martida Xasan ma jiifaa? Waxna ma sameynayaan. waxooda aqalka Ma dibi baa? Maskii baa ninkii dilay. SOV
clip30,elevenlabs:scribe_v1,0.4,0.1154,15,15,False,Suurta ninku keenay hooyaday ayaa karisay waddooyin ku ligeenu xanub ahan nahay degenaan aan sheego.,Soorta ninku keenay hooyaday ayaa karisay. waddooyin Kulligeen waxaan u baahan nahay degganaan. Aan sheego.
clip31,elevenlabs:scribe_v1,0.3333,0.1058,15,16,False,Hargeysa waa magaalo wayn. Shaqada Maxamed Qaban ayuu hubi boogaag ilkaheeda Laas Geel markay u safartay.,Hargeysa waa magaalo weyn. shaqada Maxamed qabanayo webigii buugaag ilkaheeda Laas Geel Markay u safartay.
clip32,elevenlabs:scribe_v1,0.5556,0.1186,18,17,False,Suwortii baan karinayaa? Ooman ab daar. Macay samaynaya labada gabdhoodh. Kani waa kiina. Mindidi Maxamed ee waynayd.,Soortii baan karinayaa. oomman Cab! daar|f Maxay sameynayaan labada gabdhood? Kani waa kiinna. mindidii Maxamed ee weynayd
clip33,elevenlabs:scribe_v1,0.4,0.1,20,22,False,Ab-cal waa yimid Sudaanka. Way og tahay Abyhiis wuu yimid? Bidix in shay yar. Ardada ka muuqata sawirka maxay fiiri rayaan.,Cab! ceel Waa yimid. suldaanka Way og tahay. Aabbihiis wuu yimid. bidix isha yar Ardada ka muuqata sawirka maxay fiirinayaan?
clip34,elevenlabs:scribe_v1,0.5625,0.1228,16,16,False,Anigu kalloon macno. Waa libaaxiyo. Tani ma maalimi diisa? Abe. Buurahaas. Bixinaya. Hoyadeed shaqada ayay aaday?,Anigu kalluun ma cuno. Waa libaaxyo. Tani ma macallimaddiisaa? aabbe buurahaas bixinaya Hooyadeed shaqada ayay aadday.
clip35,elevenlabs:scribe_v1,0.3077,0.0909,13,13,False,Tani waa geber? Iibsada. Iraaddi. Kayga. Neefsasho. Ma aragtay dadka dhisaya gurya? Laantayida.,Tani waa gabadh. Iibsada. iraadi kayga neefsasho Ma aragtay dadka dhisaya guriga? laantayda
clip36,elevenlabs:scribe_v1,0.2632,0.0758,19,19,False,Hargeysa waa magaalo weyn. Kani waa kaannada. Warsame. Farasay. Waan aqaana ardayda oo idil. Maxkamadda gobolka. Qorshaha iyo boqorada.,Hargeysa waa magaalo weyn. Kani waa kaanaga. Warsame! farasey! Waan aqaannaa ardayda oo idil. maxkamadda gobolka qorayaasha iyo boqorrada
